Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	HF1_1578259_CP_QC1	HF1_1578259_CP_QC2	HF1_1578259_CP_QC3	HF1_1578259_CP_QC4	HF1_1578259_CP_QC5
723	1.045	199.08141	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	15.84	HF1_1578259_CP_QC3	199.08141:753766 200.08476:402454 201.08812:1717822		638732	704476	753766	679089	627463
724	5.142	199.09645	Unknown	[M+H]+		0.6	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	18.11	HF1_1578259_CP_QC4	199.09645:671902 200.0998:107914 201.10316:144357	67.05455:14986 86.09664:10205 93.07018:31424 111.07983:7687 125.02338:33390 140.04655:171383 157.10062:21772	565578	573281	638890	671902	605075
725	6.672	199.14792	Unknown	[M+H]+		0.4	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	64.84	HF1_1578259_CP_QC5	199.14792:5002372 200.15127:666055 201.15463:19709538		4126884	4126222	4802268	4996066	5002372
726	6.38	199.14795	Unknown	[M+H]+	found in higher mz's MsMs_886	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	154.22	HF1_1578259_CP_QC1	199.14835:7862336 200.1517:1557580 201.15506:8783265	67.05489:13597 81.07051:37885 93.07047:63900 119.08588:105522 128.06233:90693 141.06937:34816 145.10126:44994 156.09358:80957	7862336	8187938	9934866	9879397	10294789
727	5.972	199.14803	Unknown	[M+H]+		0.4	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	96.82	HF1_1578259_CP_QC5	199.14803:3287665 200.15138:733178 201.15474:6361578		2593818	2687222	3057774	3152200	3287665
728	7.341	199.14821	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	59.16	HF1_1578259_CP_QC4	199.14821:4318754 200.15156:660493 201.15492:94902416		3647184	3623774	4064627	4318754	4192952
729	6.956	199.14822	Unknown	[M+H]+		0.4	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	26.74	HF1_1578259_CP_QC3	199.14822:4513494 200.15157:1047180 201.15493:30054552		3440368	3839850	4513494	4517414	4506403
730	8.082	199.16943	Unknown	[M+H]+		0.4	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	13.36	HF1_1578259_CP_QC3	199.16943:779390 200.17278:104102 201.17614:81217336		634966	712459	779390	796654	796812
731	0.513	200.00031	Unknown	[M+H]+		0.8	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	115.85	HF1_1578259_CP_QC3	200.00031:2735924 201.00366:515238 202.00702:21999774		429994	1768057	2735924	2680994	917568
732	1.291	200.05089	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	111.69	HF1_1578259_CP_QC1	200.05089:2908050 201.05424:343107 202.0576:101173		2908050	2123421	1618638	1228840	1481361
733	4.966	200.09172	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	25.14	HF1_1578259_CP_QC5	200.09172:910870 201.09507:81976 202.09843:396425		857614	744246	905706	878588	910870
734	5.469	200.12794	Unknown	[M+H]+	found in higher mz's MsMs_883; similar chromatogram in higher mz_3162; similar chromatogram in higher mz_889	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	2752.06	HF1_1578259_CP_QC1	200.12828:71397520 201.13163:8070724 202.13499:395364	56.05018:133821 71.08614:1340006 88.11263:406148 112.03979:311412 173.0598:58814	71397520	71120904	85738304	87502024	92095376
735	7.88	200.20087	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	816.9	HF1_1578259_CP_QC1	200.2012:22360326 201.20455:3197488 202.20791:145442	55.05493:94730 69.07055:191944 88.07623:1514204 100.07611:70516 131.08557:244204 145.10129:808127 173.1326:104194	22360326	24127476	26168940	25107704	27209290
736	7.637	200.20103	Unknown	[M+H]+		0.8	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	49.95	HF1_1578259_CP_QC3	200.20103:1608550 201.20438:184991 202.20774:0		1306388	1164066	1608550	1495307	1531719
737	1.054	200.97285	Unknown	[M+H]+	found in higher mz's MsMs_1168; found in higher mz's MsMs_1009	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	1240.11	HF1_1578259_CP_QC1	200.97302:41041504 201.97637:10614840 202.97973:13095437	68.9827:29513 73.06545:59380 95.08589:9728 108.96227:13758 131.08557:14659 134.99895:119914 159.04979:9341 162.99379:198881 187.01003:9133	41041504	39925656	44829408	48661644	48582112
738	0.508	201.02	Unknown	[M+H]+		0.2	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	21.27	HF1_1578259_CP_QC5	201.02:736403 202.02335:2195782 203.02671:136845		94714	409264	455106	460073	736403
739	5.602	201.0394	Unknown	[M+H]+	found in higher mz's MsMs_1330; found in higher mz's MsMs_1817; found in higher mz's MsMs_2687	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	21.82	HF1_1578259_CP_QC4	201.0394:978176 202.04275:0 203.04611:332148		794311	753229	866995	978176	798228
740	1.05	201.06064	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	16.79	HF1_1578259_CP_QC3	201.06064:1739693 202.06399:326370 203.06735:4413738		1131826	1482266	1739693	1478618	1368847
741	6.435	201.1636	Unknown	[M+H]+	found in higher mz's MsMs_2399	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	150.41	HF1_1578259_CP_QC5	201.1636:20768858 202.16695:3444312 203.17031:46160276		16867404	17274814	19803934	20487850	20768858
742	6.813	201.16368	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	784.97	HF1_1578259_CP_QC1	201.16388:66876192 202.16723:12261342 203.17059:17440902	65.03928:59005 67.05485:569674 79.05476:633175 91.04881:53466 93.07034:1438542 115.0544:61888 119.08578:2097543 130.07784:345768 144.09337:412958 157.10139:331149	66876192	63682076	77389656	85852040	78548608
743	8.04	201.16371	Unknown	[M+H]+	found in higher mz's MsMs_1143	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	710.27	HF1_1578259_CP_QC3	201.16403:93340800 202.16738:13877380 203.17074:392682368	57.07052:161917 58.0738:47727 79.05477:284856 89.07948:66628 105.07022:951056 117.06999:426911 129.06976:90098 131.08557:1214947 144.09351:144458 157.10159:130234 186.14069:69119	79907904	77922640	93340800	94035536	94671776
744	7.589	201.16377	Unknown	[M+H]+		0.6	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	291.36	HF1_1578259_CP_QC1	201.16402:34797208 202.16737:5986097 203.17073:6271140	55.05495:48397 78.57704:15232 91.05475:314000 95.08602:857768 115.05394:27252 130.07803:175977 143.08542:113424 159.11694:1504129	34797208	36353288	48278280	50478568	49554280
745	6.157	201.16377	Unknown	[M+H]+	found in higher mz's MsMs_2596; found in higher mz's MsMs_1562	0.4	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	64.95	HF1_1578259_CP_QC4	201.16377:10111230 202.16712:1636878 203.17048:25179744		8193610	7948212	9621881	10111230	9866583
746	8.133	201.1638	Unknown	[M+H]+	found in higher mz's MsMs_903	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	965.08	HF1_1578259_CP_QC5	201.1638:88510696 202.16715:14759935 203.17051:395349664		73831896	76759784	88118320	87758928	88510696
747	7.354	201.16385	Unknown	[M+H]+	found in higher mz's MsMs_904	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	669.74	HF1_1578259_CP_QC1	201.16393:81701152 202.16728:12438259 203.17064:11028373	64.61053:44820 79.05474:553763 91.05469:990914 107.08587:3975992 115.05463:110299 130.07779:470259 143.08546:362663 157.1013:266947 186.14008:210697	81701152	79398136	91977984	90441000	91103800
748	7.165	201.16385	Unknown	[M+H]+		0.8	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	354.04	HF1_1578259_CP_QC1	201.16396:50281040 202.16731:9287491 203.17067:17757134	57.07053:95388 69.0705:383877 81.07045:1047418 105.07026:1332552 109.10142:256524 129.06998:190759 131.08563:1807656 143.0856:238577 157.10136:258931 173.13258:892422 201.16376:9546955	50281040	51798296	64985796	63712456	63777376
749	8.913	201.16396	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	32.8	HF1_1578259_CP_QC4	201.16396:4494624 202.16731:634522 203.17067:16103452		3318385	3346439	4045528	4494624	4304082
750	0.516	202.01596	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	199.01	HF1_1578259_CP_QC3	202.01596:8050301 203.01931:1499108 204.02267:295310	55.93499:5739 141.32657:5430	1035492	5508106	8050301	7432062	2655877
751	5.204	202.0864	Unknown	[M+H]+		0.2	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	31.58	HF1_1578259_CP_QC2	202.0864:876791 203.08975:151948 204.09311:72716	55.0186:22289 70.02927:13758 72.04503:93778 95.04974:10232 124.07601:21087 129.07024:15264 156.10188:259648 184.09698:18172	837575	876791	1420325	1288954	1308903
752	1.048	202.09241	Unknown	[M+H]+		0.4	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	11.72	HF1_1578259_CP_QC3	202.09241:724243 203.09576:245551 204.09912:320165		315191	540103	724243	478322	381184
753	5.35	202.10724	Unknown	[M+H]+	found in higher mz's MsMs_1243	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	71.74	HF1_1578259_CP_QC1	202.10748:4031851 203.11083:617119 204.11419:102916	55.01859:29390 72.04503:127878 91.05467:11861 98.02438:31512 116.03419:11341 146.04523:30728 156.10197:331429 184.09674:19922 202.10706:510173	4031851	4030427	4518755	4637528	4240484
754	5.052	202.1073	Unknown	[M+H]+	similar chromatogram in higher mz_909	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	24.75	HF1_1578259_CP_QC2	202.1076:1427991 203.11095:104705 204.11431:185572	57.07051:38742 67.05484:21017 84.04504:47876 90.0556:8237 95.04957:32018 116.03441:41428 138.09174:6188 174.05522:15425 202.10718:163619	1507659	1427991	1648036	1730177	1706380
755	1.054	202.97034	Unknown	[M+H]+	found in higher mz's MsMs_1412; found in higher mz's MsMs_2007	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	146.18	HF1_1578259_CP_QC4	202.97034:14238884 203.97369:1770835 204.97705:1154664		12074701	11542249	13124682	14238884	13994243
756	0.511	203.00003	Unknown	[M+H]+		0.2	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	7.68	HF1_1578259_CP_QC2	203.00003:592376 204.00338:710872 205.00674:4298216		136813	592376	545696	473303	350577
757	0.531	203.05225	Unknown	[M+H]+		0.2	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	4.92	HF1_1578259_CP_QC5	203.05225:602191 204.0556:67016 205.05896:169148	79.35101:5162 105.06963:18720 119.08543:14830 192.75197:5617	144899	116629	317457	281275	602191
758	1.492	203.05234	Unknown	[M+H]+		0.6	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	16.64	HF1_1578259_CP_QC1	203.05258:1978059 204.05593:0 205.05929:0	55.05486:7107 68.9827:44716 103.02444:82387 105.07018:21223 113.00874:25016 129.00359:6962 143.01875:9176 158.08089:12762 193.01945:19688 203.05263:136450	1978059	1699046	2113898	1680558	1842127
759	1.54	203.05243	Unknown	[M+H]+		0.4	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	16.19	HF1_1578259_CP_QC4	203.05243:1955330 204.05578:0 205.05914:0	67.05478:23985 81.0704:32421 86.99303:24948 95.08578:64617 123.11681:6923 147.01314:9343 161.09546:7251 193.01881:20387 203.17908:129221	1671303	1662016	1875797	1955330	1904998
760	1.297	203.05258	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	40.31	HF1_1578259_CP_QC1	203.05258:6733152 204.05593:520664 205.05929:144540	67.05481:8868 86.06044:14694 95.08627:26509 114.05528:73720 142.01776:8133 161.02934:98964 184.96968:13139 203.05264:500206	6733152	6049490	5553639	5249993	5577641
761	11.846	203.0589	Unknown	[M+H]+		0.8	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	13.21	HF1_1578259_CP_QC1	203.05917:2291688 204.06252:143493 205.06588:149266	81.07055:19362 88.96911:8328 104.96362:12397 131.03784:30282 147.117:34238 174.90039:8695 192.91098:8332 193.07416:28938	2291688	2567888	2800515	2557553	2811506
762	5.393	203.07034	Unknown	[M+H]+	found in higher mz's MsMs_2142	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	11.35	HF1_1578259_CP_QC3	203.07008:1299444 204.07343:200200 205.07679:1185906	67.05471:12867 74.09685:14176 91.05442:30809 101.04307:7851 117.07012:11895 129.06999:98435 133.06509:6581 143.08545:13946 147.04391:91374 174.06798:12219 186.11275:8421	1415953	1364988	1299444	1276973	1270522
763	1.054	203.07625	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	17.01	HF1_1578259_CP_QC1	203.07631:2611300 204.07966:341421 205.08302:1375630	57.07061:30642 81.07016:22459 84.96021:166998 95.08603:32757 105.00359:43761 118.98599:251292 121.1015:14173 135.99965:7765 146.98064:229169 155.00677:53564 162.9935:22913 179.00656:30377 188.00766:20775 190.9886:19471 203.17961:73680	2611300	3275692	3330435	3125089	2792971
764	5.095	203.13895	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	131.09	HF1_1578259_CP_QC1	203.13924:22124580 204.14259:3251062 205.14595:236285	69.03429:10225 83.06094:86204 99.04436:13467 119.0857:18084 129.07007:52239 157.06523:44516 161.13293:10678 175.0751:70838	22124580	20113772	24770242	25265824	25072316
765	1.34	203.15031	Unknown	[M+H]+	similar chromatogram in higher mz_1601; similar chromatogram in higher mz_1072; similar chromatogram in higher mz_1866; similar chromatogram in higher mz_2335; similar chromatogram in higher mz_3198; similar chromatogram in higher mz_3214	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	40.03	HF1_1578259_CP_QC1	203.15031:1983353 204.15366:145231 205.15702:0		1983353	1735440	1689678	1723192	1644582
766	8.028	203.17912	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	2215.93	HF1_1578259_CP_QC1	203.17952:374302336 204.18287:63418128 205.18623:5620908	65.03932:339516 67.05484:9895963 93.07038:10590901 105.07025:17292422 131.08592:870788 133.10126:12637235 161.13254:7854476 175.14813:3609860	374302336	376830624	409271680	414493056	419290816
767	6.497	203.17917	Unknown	[M+H]+	found in higher mz's MsMs_921	1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	202.3	HF1_1578259_CP_QC1	203.17958:46252668 204.18293:7452532 205.18629:1257900	57.07047:89036 67.05486:568006 81.07043:1064753 91.05468:488406 93.07035:679887 145.10149:171745 203.1433:331483	46252668	45724900	50285816	48916572	52877256
768	5.812	203.17934	Unknown	[M+H]+		0.6	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	73.2	HF1_1578259_CP_QC1	203.17973:6561723 204.18308:1185904 205.18644:226688	67.05489:102095 79.05479:47180 93.07034:95610 119.08578:335693 133.06438:10148 145.10129:54828 161.09657:33391 171.08023:13079 175.14839:136770 185.13261:24765 203.17949:907562	6561723	6073358	7304602	7524136	7309982
769	7.112	203.17941	Unknown	[M+H]+		0.8	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	59.48	HF1_1578259_CP_QC4	203.17941:23169304 204.18276:4086331 205.18612:1538130		18871022	18676058	21858950	23169304	22034390
770	9.014	203.1795	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	329.99	HF1_1578259_CP_QC1	203.17972:63209152 204.18307:11120555 205.18643:38637840	57.07059:146212 79.05475:330077 81.07039:1415537 93.07034:1608628 103.05509:27909 131.08543:304239 145.10086:242177 186.59755:31528	63209152	62993064	72202008	78015016	75965800
771	9.376	203.1795	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	69.21	HF1_1578259_CP_QC1	203.17972:15087454 204.18307:2577828 205.18643:9748596	61.11684:8782 79.05478:107301 95.08598:1151672 105.07025:690179 119.08579:545902 131.08559:63166 145.10109:54230 161.1324:247583	15087454	14031081	15253319	15418780	14191478
772	6.104	203.17955	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	130.53	HF1_1578259_CP_QC1	203.17967:26279782 204.18302:4785430 205.18638:837426	55.05492:78883 67.05484:326490 79.0547:104946 91.05473:257371 105.07026:865614 131.08578:81399 147.11684:1290127 160.12468:80772 203.14326:97205	26279782	25509002	31226384	30901458	29874776
773	1.384	204.0864	Unknown	[M+H]+		0.2	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	108.49	HF1_1578259_CP_QC5	204.0864:2630629 205.08975:0 206.09311:453907	57.03408:28233 85.02869:49030 98.05994:8033 103.03914:130377 140.07036:27370 158.08098:229883	2634857	2455798	2275715	2799418	2630629
774	1.328	204.08669	Unknown	[M+H]+		0.8	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	89.33	HF1_1578259_CP_QC1	204.08669:2793155 205.09004:389246 206.0934:0	61.02901:8305 71.06875:10270 102.05551:33864 112.07591:25314 158.08128:239168	2793155	2476428	2464593	2580477	2586300
775	8.634	204.43671	Unknown	[M+H]+		0.4	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	12062.93	HF1_1578259_CP_QC5	204.43671:730351 205.44006:134165 206.44342:0		627820	619259	607313	651633	730351
776	0.512	204.88785	Unknown	[M+H]+		0.6	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	9432.59	HF1_1578259_CP_QC4	204.88785:738849 205.8912:0 206.89456:0		112271	524454	672975	738849	288236
777	1.05	205.0043	Unknown	[M+H]+		0.4	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	26.21	HF1_1578259_CP_QC3	205.0043:778270 206.00765:173680 207.01101:106474		686690	372946	778270	488840	771093
778	1.297	205.01085	Unknown	[M+H]+	found in higher mz's MsMs_1232	0.2	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	13.35	HF1_1578259_CP_QC1	205.01085:507354 206.0142:0 207.01756:563952		507354	362913	355131	367841	342440
779	0.516	205.01569	Unknown	[M+H]+	found in higher mz's MsMs_1369	0.8	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	62.06	HF1_1578259_CP_QC2	205.01569:1896928 206.01904:257384 207.0224:1277904		528573	1896928	1894733	1829766	1331584
780	1.054	205.07426	Unknown	[M+H]+		0.2	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	9.23	HF1_1578259_CP_QC2	205.07426:788778 206.07761:0 207.08097:114912		510665	788778	932163	560198	477280
781	5.833	205.08589	Unknown	[M+H]+	found in higher mz's MsMs_941	1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	20.74	HF1_1578259_CP_QC3	205.08589:2313246 206.08924:465355 207.0926:3776371		1997110	2031895	2313246	2057263	2098386
782	7.692	205.08603	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	65.81	HF1_1578259_CP_QC3	205.08603:4045714 206.08938:632080 207.09274:54865092		3005751	3018296	4045714	3705330	3624966
783	1.047	205.09195	Unknown	[M+H]+		0.4	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	18.75	HF1_1578259_CP_QC3	205.09195:1271301 206.0953:108383 207.09866:1592119	68.98255:24406 81.07052:17301 86.9931:26132 102.97298:16917 107.00097:12639 120.98363:32341 123.11658:6666 138.99405:45420 163.04485:8911 177.04231:10231 187.08179:31854 192.98604:11710 205.09192:54446	727523	992776	1271301	905456	840807
784	5.171	205.09705	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	654.06	HF1_1578259_CP_QC1	205.09744:45554236 206.10079:6603670 207.10415:948715	115.05447:137149 118.06537:2033662 132.08092:581642 144.08087:1003214 146.06004:4620950 159.07858:39506 178.04982:34619	45554236	43901840	47365484	47962144	47581472
785	7.327	205.1586	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	48.41	HF1_1578259_CP_QC1	205.15852:3170442 206.16187:622333 207.16523:611211	57.07055:15574 69.07059:24891 91.05457:33599 97.10166:6882 105.07029:184980 121.10137:78556 147.11685:35049 163.11192:70351 187.14879:31693 205.15875:380834	3170442	3340718	4012725	3690468	3661628
786	7.147	205.15872	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	19.46	HF1_1578259_CP_QC3	205.15872:2507327 206.16207:383876 207.16543:1452422		2139337	2196301	2507327	2384742	2422352
787	7.558	205.15875	Unknown	[M+H]+		0.8	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	57.53	HF1_1578259_CP_QC3	205.15875:2567243 206.1621:324317 207.16546:497874		2143865	2223080	2567243	2479381	2352257
788	8.279	205.1947	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	1585.91	HF1_1578259_CP_QC5	205.1947:129884488 206.19805:23038662 207.20141:1944115		110134248	109176392	128734720	128807680	129884488
789	1.352	205.19478	Unknown	[M+H]+		0.2	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	12.96	HF1_1578259_CP_QC4	205.19478:996039 206.19813:168580 207.20149:0		670330	258162	423117	996039	359715
790	8.637	205.19507	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	4202.11	HF1_1578259_CP_QC1	205.19507:350775296 206.19842:59756360 207.20178:4541829	67.05106:421897 81.07048:13359456 83.08612:6185684 107.08594:22705356 121.10149:17505834 135.11697:18738900 163.14819:3771890	350775296	340643808	299174144	336415872	312330272
791	8.634	205.95718	Unknown	[M+H]+		0.4	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	16.29	HF1_1578259_CP_QC5	205.95718:761146 206.96053:86765 207.96389:0		616408	641466	619210	674582	761146
792	11.711	205.98776	Unknown	[M+H]+		0.6	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	14.76	HF1_1578259_CP_QC1	205.98784:1211012 206.99119:219739 207.99455:0	67.05481:9922 135.11681:16251 149.13261:28726 180.32658:5954	1211012	1065566	1255459	1269533	1250872
793	1.422	206.10205	Unknown	[M+H]+		0.2	FALSE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	9.1	HF1_1578259_CP_QC5	206.10205:703188 207.1054:2180263 208.10876:221490		398744	607336	597137	545368	703188
794	2.005	206.10245	Unknown	[M+H]+		0.2	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	16.19	HF1_1578259_CP_QC1	206.10245:1017080 207.1058:563267 208.10916:138357	55.05503:7913 89.94077:6109 129.97186:5474 142.08636:11668	1017080	952290	986378	964007	1027904
795	5.018	206.11766	Unknown	[M+H]+		1	TRUE	null	null	null	null	null	null	999	FALSE	FALSE	FALSE		FALSE	FALSE	null	null	null	null	null	null	null	69.09	HF1_1578259_CP_QC1	206.11771:3040015 207.12106:447403 208.12442:1504408	76.07623:16618 118.06509:15226 145.08408:20572 147.06352:83507 171.06413:9721 177.05486:64327 191.09424:18272	3040015	3019475	3985659	3936884	3855318
